SchoolCode,SchoolName,SchoolType,Suburb,StateCode,Postcode,Longitude,Latitude,SchoolAddress,SchoolID
"3008","Rouse Hill Public School","Primary School","Rouse Hill","NSW","2155",150.920985,-33.679219,"Clower Ave",3949
"3012","Rugby Public School","Primary School","Rugby","NSW","2583",148.992695,-34.392245,"Boorowa-Crookwell Rd",3954
"3013","Rukenvale Public School","Primary School","Rukenvale","NSW","2474",152.894396,-28.468321,"2303 Summerland Way",3958
"3020","Rydalmere Public School","Primary School","Rydalmere","NSW","2116",151.044705,-33.814317,"397 Victoria Road",3964
"3021","Ryde Public School","Primary School","Ryde","NSW","2112",151.108015,-33.812552,"Pope St",3965
"3022","North Ryde Public School","Primary School","North Ryde","NSW","2113",151.120042,-33.794766,"Coxs Rd",3966
"3023","West Ryde Public School","Primary School","West Ryde","NSW","2114",151.085097,-33.808363,"Endeavour St",3968
"3024","Rye Park Public School","Primary School","Rye Park","NSW","2586",148.906651,-34.521629,"Dalton Rd",3970
"3025","Rylstone Public School","Primary School","Rylstone","NSW","2849",149.972877,-32.795564,"25-27 Mudgee Street",3973
"3029","St Johns Park Public School","Primary School","St Johns Park","NSW","2176",150.899278,-33.887204,"Sandringham St",3978
"3031","St Marys Public School","Primary School","St Marys","NSW","2760",150.770634,-33.768364,"Princess Mary St",3982
"3032","St Peters Public School","Primary School","St Peters","NSW","2044",151.176696,-33.912993,"Church St",3985
"3035","Salt Ash Public School","Primary School","Salt Ash","NSW","2318",151.903848,-32.787841,"4 Salt Ash Avenue",3993
"3038","Sans Souci Public School","Primary School","Sans Souci","NSW","2219",151.12923,-33.99499,"Rocky Point Rd",3997
"3041","Savernake Public School","Primary School","Savernake","NSW","2646",146.047569,-35.732197,"Riverina Hwy",4002
"3042","Sawtell Public School","Primary School","Sawtell","NSW","2452",153.09764,-30.363316,"32-36 Eleventh Ave",4004
"3045","Scarborough Public School","Primary School","Scarborough","NSW","2515",150.966036,-34.266182,"Lawrence Hargrave Drive",4006
"3046","Schofields Public School","Primary School","Schofields","NSW","2762",150.875247,-33.693115,"St Albans Rd",4008
"3048","Seaham Public School","Primary School","Seaham","NSW","2324",151.729362,-32.662095,"Still St",4009
"3053","Seven Hills North Public School","Primary School","Seven Hills","NSW","2147",150.955041,-33.759976,"45 Beethoven St",4013
"3060","Shellharbour Public School","Primary School","Shellharbour","NSW","2529",150.865109,-34.578968,"Mary St",4021
"3065","Shortland Public School","Primary School","Shortland","NSW","2307",151.695063,-32.881435,"Sandgate Rd",4022
"3070","Singleton Public School","Primary School","Singleton","NSW","2330",151.171752,-32.563135,"Hunter St",4025
"3073","Smithfield Public School","Primary School","Smithfield","NSW","2164",150.933495,-33.853583,"O Connell St",4026
"3075","Smithtown Public School","Primary School","Smithtown","NSW","2440",152.941365,-31.018188,"Cannane St",4028
"3077","Sofala Public School","Primary School","Sofala","NSW","2795",149.695172,-33.082242,"Turon Terrace",4031
"3078","Somersby Public School","Primary School","Gosford","NSW","2250",151.291312,-33.358368,"Wisemans Ferry Rd",4033
